time,wx,wy,wz
10.37089490890503,0.16,-0.12,-0.03
10.372939109802246,0.23,-0.05,-0.01
10.375452995300293,0.23,-0.05,-0.01
10.381578922271729,0.27,0.03,-0.01
10.392353057861328,0.27,0.09,-0.01
10.40180492401123,0.24,0.14,0.0
10.411348819732666,0.19,0.14,0.02
10.421267986297607,0.14,0.09,0.03
10.431700944900513,0.09,0.01,0.05
10.441483974456787,0.05,-0.1,0.06
10.452000141143799,0.04,-0.2,0.05
10.472208023071289,0.07,-0.24,0.02
10.474437952041626,0.07,-0.24,0.02
10.480997085571289,0.13,-0.22,0.01
10.492146968841553,0.18,-0.23,0.01
10.501137018203735,0.22,-0.24,0.03
10.511044025421143,0.23,-0.23,0.06
10.520526885986328,0.23,-0.2,0.08
10.531087875366211,0.21,-0.14,0.09
10.541131019592285,0.17,-0.04,0.08
10.569520950317383,0.06,0.21,0.02
10.571600914001465,-0.0,0.29,-0.0
10.573984146118164,-0.0,0.29,-0.0
10.580388069152832,-0.06,0.34,-0.01
10.591596126556396,-0.13,0.37,-0.0
10.600276947021484,-0.19,0.39,0.01
10.610103130340576,-0.25,0.36,0.02
10.620431900024414,-0.3,0.28,0.03
10.630463123321533,-0.33,0.13,0.03
10.640166997909546,-0.34,-0.08,0.03
10.650714874267578,-0.32,-0.26,0.03
10.673750877380371,-0.19,-0.44,0.04
10.674731969833374,-0.19,-0.44,0.04
10.679764986038208,-0.1,-0.4,0.03
10.690737009048462,0.01,-0.27,0.03
10.69962191581726,0.1,-0.08,0.03
10.70956802368164,0.17,0.12,0.02
10.720120906829834,0.21,0.29,0.01
10.72943902015686,0.21,0.37,0.01
10.739797115325928,0.19,0.39,0.03
10.76969599723816,0.05,0.31,0.09
10.771682977676392,0.05,0.31,0.09
10.773696899414062,0.05,0.31,0.09
10.779231071472168,0.0,0.33,0.12
10.789874076843262,-0.04,0.35,0.16
10.799338817596436,-0.08,0.34,0.18
10.809019088745117,-0.1,0.27,0.19
10.8191659450531,-0.11,0.16,0.18
10.828809976577759,-0.12,0.03,0.16
10.839881896972656,-0.12,-0.09,0.12
10.865374088287354,-0.12,-0.23,0.05
10.866922855377197,-0.12,-0.23,0.05
10.870081901550293,-0.12,-0.19,0.02
10.878484964370728,-0.12,-0.05,-0.02
10.889936923980713,-0.13,0.13,-0.05
10.898401975631714,-0.15,0.29,-0.06
10.908227920532227,-0.16,0.37,-0.06
10.918587923049927,-0.16,0.35,-0.03
10.928516864776611,-0.15,0.25,0.02
10.938386917114258,-0.12,0.11,0.07
10.948999881744385,-0.05,-0.04,0.11
10.97285795211792,0.16,-0.2,0.14
10.973834037780762,0.16,-0.2,0.14
10.979145050048828,0.26,-0.19,0.11
10.988690853118896,0.34,-0.13,0.05
10.998046875,0.37,-0.11,-0.01
11.007836818695068,0.37,-0.15,-0.07
11.017597913742065,0.34,-0.28,-0.12
11.028089046478271,0.27,-0.45,-0.16
11.037737846374512,0.17,-0.58,-0.17
11.06171989440918,-0.06,-0.66,-0.18
11.06346082687378,-0.06,-0.66,-0.18
11.067956924438477,-0.16,-0.65,-0.16
11.077910900115967,-0.24,-0.61,-0.12
11.088351964950562,-0.3,-0.54,-0.08
11.097157001495361,-0.35,-0.44,-0.03
11.107375144958496,-0.38,-0.29,0.01
11.117502927780151,-0.41,-0.1,0.03
11.127016067504883,-0.41,0.12,0.04
11.137768983840942,-0.38,0.32,0.03
11.16489315032959,-0.26,0.62,-0.02
11.166923999786377,-0.17,0.66,-0.03
11.169656991958618,-0.17,0.66,-0.03
11.176769018173218,-0.08,0.59,-0.04
11.187387943267822,0.01,0.41,-0.03
11.196861982345581,0.09,0.16,-0.02
11.20671796798706,0.17,-0.1,-0.01
11.216538906097412,0.23,-0.31,-0.01
11.226725101470947,0.28,-0.44,-0.01
11.236753940582275,0.33,-0.5,-0.01
11.264663934707642,0.39,-0.5,-0.02
11.266510009765625,0.39,-0.44,-0.03
11.26892900466919,0.39,-0.44,-0.03
11.276556968688965,0.34,-0.33,-0.05
11.287107944488525,0.27,-0.2,-0.08
11.295877933502197,0.17,-0.1,-0.08
11.30605697631836,0.08,-0.03,-0.08
11.316084861755371,0.0,0.01,-0.06
11.326004981994629,-0.07,0.07,-0.03
11.336527824401855,-0.12,0.13,-0.0
11.362661838531494,-0.19,0.37,0.06
11.364850044250488,-0.19,0.37,0.06
11.367961883544922,-0.21,0.5,0.08
11.375537872314453,-0.21,0.58,0.08
11.38654899597168,-0.2,0.56,0.08
11.395692825317383,-0.16,0.43,0.07
11.40545392036438,-0.09,0.24,0.07
11.415436029434204,-0.0,0.02,0.06
11.425534963607788,0.09,-0.16,0.06
11.435557842254639,0.18,-0.28,0.05
11.46191692352295,0.26,-0.36,-0.01
11.463708877563477,0.26,-0.36,-0.01
11.467232942581177,0.24,-0.31,-0.04
11.474838972091675,0.19,-0.21,-0.08
11.48590898513794,0.09,-0.08,-0.1
11.494843006134033,0.0,0.03,-0.12
11.504791975021362,-0.09,0.11,-0.11
11.515066146850586,-0.16,0.13,-0.1
11.524874925613403,-0.2,0.12,-0.07
11.535161018371582,-0.22,0.11,-0.04
11.562062978744507,-0.18,0.2,0.03
11.563874959945679,-0.18,0.2,0.03
11.567728996276855,-0.14,0.36,0.05
11.574177026748657,-0.08,0.55,0.08
11.585299015045166,-0.01,0.74,0.09
11.594097137451172,0.05,0.86,0.11
11.604272842407227,0.12,0.88,0.13
11.614181995391846,0.17,0.79,0.14
